ma_id,review_id,final_score,grade,estimate,p_value,significant,k,total_n,doi,citation_count,citation_percentile,who_essential,nice_guideline_count,influence_score,quadrant
CD013614_pub2_data__A28,CD013614,98,A+,-0.276634,0.019945,True,13,4366,10.1002/14651858.CD013614.pub2,2,39.12175648702595,False,0,25.449101796407188,Hidden Gem
CD003774_pub5_data__A10,CD003774,98,A+,-0.928882,1.4e-05,True,25,2653,10.1002/14651858.CD003774.pub5,13,88.32335329341318,False,0,43.26347305389221,Moderate
CD001155_pub3_data__A5,CD001155,98,A+,-0.631574,0.0,True,47,49267,10.1002/14651858.CD001155.pub3,0,9.68063872255489,False,0,9.121756487025948,Hidden Gem
CD013366_pub2_data__A5,CD013366,98,A+,-0.512697,0.004537,True,16,2289,10.1002/14651858.CD013366.pub2,10,82.83433133732535,False,0,40.47904191616767,Moderate
CD003774_pub5_data__A5,CD003774,98,A+,-1.048008,0.0,True,66,7622,10.1002/14651858.CD003774.pub5,13,88.32335329341318,False,0,43.26347305389221,Moderate
CD003774_pub5_data__A2,CD003774,98,A+,-1.014016,0.0,True,101,9440,10.1002/14651858.CD003774.pub5,13,88.32335329341318,False,0,43.26347305389221,Moderate
CD007784_pub3_data__A37,CD007784,98,A+,-0.257488,2.9e-05,True,13,34980,10.1002/14651858.CD007784.pub3,9,79.84031936127745,False,0,41.876247504990026,Moderate
CD007784_pub3_data__A25,CD007784,98,A+,-0.259493,4.1e-05,True,12,34857,10.1002/14651858.CD007784.pub3,9,79.84031936127745,False,0,41.876247504990026,Moderate
CD007784_pub3_data__A22,CD007784,98,A+,-0.259493,4.1e-05,True,12,34857,10.1002/14651858.CD007784.pub3,9,79.84031936127745,False,0,41.876247504990026,Moderate
CD007784_pub3_data__A5,CD007784,98,A+,-0.449739,0.004848,True,12,9833,10.1002/14651858.CD007784.pub3,9,79.84031936127745,False,0,41.876247504990026,Moderate
CD009362_pub4_data__A4,CD009362,98,A+,-0.830983,1.7e-05,True,20,6368,10.1002/14651858.CD009362.pub4,5,63.57285429141717,False,0,26.76646706586827,Hidden Gem
CD011762_pub2_data__A9,CD011762,98,A+,-0.415728,0.0,True,140,133074,10.1002/14651858.CD011762.pub2,3,49.101796407185624,False,0,26.686626746506988,Hidden Gem
CD011535_pub7_data__A13,CD011535,98,A+,1.597362,0.0,True,23,8216,10.1002/14651858.CD011535.pub7,1,26.34730538922156,False,0,18.16367265469062,Hidden Gem
CD001909_pub4_data__A1,CD001909,98,A+,0.673342,0.0,True,51,6048,10.1002/14651858.CD001909.pub4,3,49.101796407185624,False,0,23.093812375249502,Hidden Gem
CD007784_pub3_data__A54,CD007784,98,A+,-0.258482,0.00013,True,12,28733,10.1002/14651858.CD007784.pub3,9,79.84031936127745,False,0,41.876247504990026,Moderate
CD007784_pub3_data__A48,CD007784,98,A+,-0.257488,2.9e-05,True,13,34980,10.1002/14651858.CD007784.pub3,9,79.84031936127745,False,0,41.876247504990026,Moderate
CD012712_pub2_data__A15,CD012712,98,A+,-0.326851,0.022087,True,16,2783,10.1002/14651858.CD012712.pub2,10,82.83433133732535,True,0,61.427145708582835,Safe
CD011762_pub2_data__A3,CD011762,98,A+,-0.435708,0.0,True,245,292769,10.1002/14651858.CD011762.pub2,3,49.101796407185624,False,0,26.686626746506988,Hidden Gem
CD003774_pub5_data__A7,CD003774,97,A+,-1.00816,1.6e-05,True,16,2554,10.1002/14651858.CD003774.pub5,13,88.32335329341318,False,0,43.26347305389221,Moderate
CD003774_pub5_data__A13,CD003774,97,A+,-1.114853,0.0,True,17,1786,10.1002/14651858.CD003774.pub5,13,88.32335329341318,False,0,43.26347305389221,Moderate
CD009749_pub3_data__A6,CD009749,97,A+,0.740918,0.000943,True,16,1152,10.1002/14651858.CD009749.pub3,7,73.05389221556887,False,0,34.47105788423154,Moderate
CD013071_pub2_data__A8,CD013071,97,A+,0.513727,0.044189,True,11,3477,10.1002/14651858.CD013071.pub2,15,91.81636726546905,False,0,45.20958083832335,Moderate
CD013071_pub2_data__A20,CD013071,97,A+,0.521308,0.045442,True,10,3439,10.1002/14651858.CD013071.pub2,15,91.81636726546905,False,0,45.20958083832335,Moderate
CD001909_pub4_data__A4,CD001909,97,A+,0.668293,0.003526,True,12,1486,10.1002/14651858.CD001909.pub4,3,49.101796407185624,False,0,23.093812375249502,Hidden Gem
CD001155_pub3_data__A1,CD001155,97,A+,-0.30599,0.0,True,182,65148,10.1002/14651858.CD001155.pub3,0,9.68063872255489,False,0,9.121756487025948,Hidden Gem
CD013830_pub2_data__A7,CD013830,97,A+,-1.17636,0.001912,True,11,1084,10.1002/14651858.CD013830.pub2,15,91.81636726546905,True,0,65.43912175648703,Safe
CD006257_pub2_data__A5,CD006257,96,A+,-0.294517,0.014351,True,23,11584,10.1002/14651858.CD006257.pub2,10,82.83433133732535,False,0,40.91816367265469,Moderate
CD007784_pub3_data__A4,CD007784,95,A+,-0.311012,0.000969,True,9,22219,10.1002/14651858.CD007784.pub3,9,79.84031936127745,False,0,41.876247504990026,Moderate
CD016131_data__A3,CD016131,95,A+,-0.69036,0.001214,True,11,64337,10.1002/14651858.CD016131,0,9.68063872255489,False,0,7.325349301397207,Hidden Gem
CD007784_pub3_data__A55,CD007784,95,A+,-0.669545,0.014266,True,5,4126,10.1002/14651858.CD007784.pub3,9,79.84031936127745,False,0,41.876247504990026,Moderate
CD003598_pub3_data__A2,CD003598,95,A+,-0.19973,0.018231,True,60,8336,10.1002/14651858.CD003598.pub3,2,39.12175648702595,False,0,25.309381237524953,Hidden Gem
CD002042_pub6_data__A32,CD002042,95,A+,0.186229,0.041232,True,10,6944,10.1002/14651858.CD002042.pub6,2,39.12175648702595,False,0,25.219560878243513,Hidden Gem
CD016131_data__A2,CD016131,95,A+,-0.98943,1e-05,True,13,108735,10.1002/14651858.CD016131,0,9.68063872255489,False,0,7.325349301397207,Hidden Gem
CD007026_pub7_data__A2,CD007026,95,A+,-0.312086,0.009065,True,14,3378,10.1002/14651858.CD007026.pub7,10,82.83433133732535,False,0,35.83832335329341,Moderate
CD011600_pub3_data__A12,CD011600,93,A+,0.486858,7e-05,True,9,29292,10.1002/14651858.CD011600.pub3,14,90.31936127744511,False,0,45.389221556886234,Moderate
CD011600_pub3_data__A25,CD011600,93,A+,-0.682098,0.002704,True,8,27730,10.1002/14651858.CD011600.pub3,14,90.31936127744511,False,0,45.389221556886234,Moderate
CD015536_pub2_data__A2,CD015536,93,A+,-0.373303,0.034748,True,39,4653,10.1002/14651858.CD015536.pub2,0,9.68063872255489,False,0,9.121756487025948,Hidden Gem
CD011600_pub3_data__A14,CD011600,93,A+,0.57089,0.000142,True,9,29292,10.1002/14651858.CD011600.pub3,14,90.31936127744511,False,0,45.389221556886234,Moderate
CD013830_pub2_data__A10,CD013830,93,A+,-0.766755,0.021895,True,6,1053,10.1002/14651858.CD013830.pub2,15,91.81636726546905,True,0,65.43912175648703,Safe
CD003598_pub3_data__A18,CD003598,93,A+,-1.078238,0.000185,True,8,1900,10.1002/14651858.CD003598.pub3,2,39.12175648702595,False,0,25.309381237524953,Hidden Gem
CD012712_pub2_data__A5,CD012712,93,A+,-0.158801,0.008725,True,49,10315,10.1002/14651858.CD012712.pub2,10,82.83433133732535,True,0,61.427145708582835,Safe
CD013830_pub2_data__A11,CD013830,93,A+,-0.680175,0.000223,True,7,2709,10.1002/14651858.CD013830.pub2,15,91.81636726546905,True,0,65.43912175648703,Safe
CD013614_pub2_data__A19,CD013614,93,A+,0.531536,0.001346,True,8,3045,10.1002/14651858.CD013614.pub2,2,39.12175648702595,False,0,25.449101796407188,Hidden Gem
CD013874_pub3_data__A11,CD013874,93,A+,-1.145393,0.032183,True,5,997,10.1002/14651858.CD013874.pub3,0,9.68063872255489,False,0,11.497005988023954,Hidden Gem
CD016211_data__A2,CD016211,93,A+,-0.424268,0.007286,True,5,42430,10.1002/14651858.CD016211,0,9.68063872255489,False,0,12.165668662674651,Hidden Gem
CD013614_pub2_data__A18,CD013614,92,A+,1.370856,1e-06,True,16,6001,10.1002/14651858.CD013614.pub2,2,39.12175648702595,False,0,25.449101796407188,Hidden Gem
CD009749_pub3_data__A2,CD009749,92,A+,0.809335,0.002921,True,12,804,10.1002/14651858.CD009749.pub3,7,73.05389221556887,False,0,34.47105788423154,Moderate
CD014722_pub2_data__A1,CD014722,92,A+,-0.541853,0.000392,True,49,7614,10.1002/14651858.CD014722.pub2,14,90.31936127744511,False,0,44.61077844311377,Moderate
CD013830_pub2_data__A13,CD013830,92,A+,-0.471455,0.009993,True,9,970,10.1002/14651858.CD013830.pub2,15,91.81636726546905,True,0,65.43912175648703,Safe
CD010290_pub4_data__A1,CD010290,92,A+,0.333798,0.03073,True,9,1265,10.1002/14651858.CD010290.pub4,2,39.12175648702595,False,0,23.433133732534934,Hidden Gem
CD006023_pub4_data__A7,CD006023,91,A+,0.480633,0.022457,True,28,3794,10.1002/14651858.CD006023.pub4,1,26.34730538922156,False,0,19.9500998003992,Hidden Gem
CD006023_pub4_data__A13,CD006023,91,A+,0.426309,0.016118,True,22,3393,10.1002/14651858.CD006023.pub4,1,26.34730538922156,False,0,19.9500998003992,Hidden Gem
CD005133_pub4_data__A8,CD005133,91,A+,-0.18006,0.034456,True,56,5484,10.1002/14651858.CD005133.pub4,0,9.68063872255489,False,0,9.121756487025948,Hidden Gem
CD003743_pub3_data__A4,CD003743,91,A+,-1.167561,0.014985,True,6,528,10.1002/14651858.CD003743.pub3,0,9.68063872255489,False,0,11.497005988023954,Hidden Gem
CD012426_pub2_data__A4,CD012426,91,A+,-0.257964,0.029962,True,7,2210,10.1002/14651858.CD012426.pub2,0,9.68063872255489,False,0,5.908183632734531,Hidden Gem
CD011600_pub3_data__A23,CD011600,91,A+,-0.369516,0.004592,True,9,29262,10.1002/14651858.CD011600.pub3,14,90.31936127744511,False,0,45.389221556886234,Moderate
CD011600_pub3_data__A10,CD011600,91,A+,0.308407,2.6e-05,True,7,26608,10.1002/14651858.CD011600.pub3,14,90.31936127744511,False,0,45.389221556886234,Moderate
CD003333_pub4_data__A3,CD003333,91,A+,0.743754,0.009265,True,5,4727,10.1002/14651858.CD003333.pub4,0,9.68063872255489,False,0,4.580838323353293,Hidden Gem
