domain,threshold,n_total_sig,n_excluded,erosion_rate,n_mas
Cancer,50,38,0,0.0,235
Cancer,60,38,5,13.157894736842104,235
Cancer,70,38,13,34.21052631578947,235
Cancer,80,38,31,81.57894736842105,235
Cancer,90,38,36,94.73684210526315,235
Cardiovascular,50,101,13,12.871287128712872,640
Cardiovascular,60,101,53,52.475247524752476,640
Cardiovascular,70,101,72,71.28712871287128,640
Cardiovascular,80,101,87,86.13861386138613,640
Cardiovascular,90,101,90,89.10891089108911,640
Dermatology,50,4,0,0.0,15
Dermatology,60,4,0,0.0,15
Dermatology,70,4,0,0.0,15
Dermatology,80,4,0,0.0,15
Dermatology,90,4,3,75.0,15
Diabetes,50,124,16,12.903225806451612,549
Diabetes,60,124,41,33.064516129032256,549
Diabetes,70,124,75,60.483870967741936,549
Diabetes,80,124,97,78.2258064516129,549
Diabetes,90,124,105,84.67741935483872,549
Gastrointestinal,50,39,1,2.564102564102564,112
Gastrointestinal,60,39,5,12.82051282051282,112
Gastrointestinal,70,39,14,35.8974358974359,112
Gastrointestinal,80,39,22,56.41025641025641,112
Gastrointestinal,90,39,32,82.05128205128204,112
Hypertension,50,106,4,3.7735849056603774,1064
Hypertension,60,106,19,17.92452830188679,1064
Hypertension,70,106,44,41.509433962264154,1064
Hypertension,80,106,74,69.81132075471697,1064
Hypertension,90,106,98,92.45283018867924,1064
Infection,50,49,0,0.0,415
Infection,60,49,12,24.489795918367346,415
Infection,70,49,29,59.183673469387756,415
Infection,80,49,41,83.6734693877551,415
Infection,90,49,49,100.0,415
Mental_health,50,90,8,8.88888888888889,703
Mental_health,60,90,29,32.22222222222222,703
Mental_health,70,90,50,55.55555555555556,703
Mental_health,80,90,76,84.44444444444444,703
Mental_health,90,90,87,96.66666666666667,703
Neurological,50,5,0,0.0,27
Neurological,60,5,0,0.0,27
Neurological,70,5,0,0.0,27
Neurological,80,5,1,20.0,27
Neurological,90,5,5,100.0,27
Other,50,125,11,8.799999999999999,961
Other,60,125,58,46.400000000000006,961
Other,70,125,81,64.8,961
Other,80,125,115,92.0,961
Other,90,125,123,98.4,961
Pain,50,97,7,7.216494845360824,380
Pain,60,97,37,38.144329896907216,380
Pain,70,97,71,73.19587628865979,380
Pain,80,97,88,90.72164948453609,380
Pain,90,97,94,96.90721649484536,380
Pregnancy,50,40,4,10.0,377
Pregnancy,60,40,16,40.0,377
Pregnancy,70,40,24,60.0,377
Pregnancy,80,40,30,75.0,377
Pregnancy,90,40,35,87.5,377
Renal,50,0,0,0.0,13
Renal,60,0,0,0.0,13
Renal,70,0,0,0.0,13
Renal,80,0,0,0.0,13
Renal,90,0,0,0.0,13
Respiratory,50,38,0,0.0,359
Respiratory,60,38,14,36.84210526315789,359
Respiratory,70,38,19,50.0,359
Respiratory,80,38,27,71.05263157894737,359
Respiratory,90,38,31,81.57894736842105,359
Unknown,50,32,0,0.0,379
Unknown,60,32,2,6.25,379
Unknown,70,32,15,46.875,379
Unknown,80,32,26,81.25,379
Unknown,90,32,29,90.625,379
