ma_id,review_id,final_score,grade,grade_label,audit_score,consistency_score,robustness_score,stability_score,power_score,k,total_n,estimate,p_value,significant,doi,review_group,citation_count,citation_percentile,who_essential,nice_guideline_count,group_size_percentile,influence_score,quadrant
CD011762_pub2_data__A9,CD011762,98,A+,Highly Trustworthy,92.0,100.0,100.0,100.0,100.0,140,133074,-0.415728,0.0,True,10.1002/14651858.CD011762.pub2,Gastrointestinal,3,49.101796407185624,False,0,70.45908183632734,26.686626746506988,Hidden Gem
CD011535_pub7_data__A13,CD011535,98,A+,Highly Trustworthy,92.0,100.0,100.0,99.9,100.0,23,8216,1.597362,0.0,True,10.1002/14651858.CD011535.pub7,Mental_health,1,26.34730538922156,False,0,76.24750499001996,18.16367265469062,Hidden Gem
CD001909_pub4_data__A1,CD001909,98,A+,Highly Trustworthy,92.0,100.0,100.0,99.6,100.0,51,6048,0.673342,0.0,True,10.1002/14651858.CD001909.pub4,Pregnancy,3,49.101796407185624,False,0,34.5309381237525,23.093812375249502,Hidden Gem
CD007784_pub3_data__A54,CD007784,98,A+,Highly Trustworthy,92.0,100.0,100.0,99.9,100.0,12,28733,-0.258482,0.00013,True,10.1002/14651858.CD007784.pub3,Diabetes,9,79.84031936127745,False,0,99.40119760479041,41.876247504990026,Moderate
CD007784_pub3_data__A48,CD007784,98,A+,Highly Trustworthy,92.0,100.0,100.0,99.9,100.0,13,34980,-0.257488,2.9e-05,True,10.1002/14651858.CD007784.pub3,Diabetes,9,79.84031936127745,False,0,99.40119760479041,41.876247504990026,Moderate
CD012712_pub2_data__A15,CD012712,98,A+,Highly Trustworthy,92.0,100.0,100.0,99.8,100.0,16,2783,-0.326851,0.022087,True,10.1002/14651858.CD012712.pub2,Respiratory,10,82.83433133732535,True,0,82.93413173652695,61.427145708582835,Safe
CD011762_pub2_data__A3,CD011762,98,A+,Highly Trustworthy,92.0,100.0,100.0,100.0,100.0,245,292769,-0.435708,0.0,True,10.1002/14651858.CD011762.pub2,Gastrointestinal,3,49.101796407185624,False,0,70.45908183632734,26.686626746506988,Hidden Gem
CD003774_pub5_data__A7,CD003774,97,A+,Highly Trustworthy,84.0,100.0,100.0,99.9,100.0,16,2554,-1.00816,1.6e-05,True,10.1002/14651858.CD003774.pub5,Diabetes,13,88.32335329341318,False,0,79.34131736526946,43.26347305389221,Moderate
CD003774_pub5_data__A13,CD003774,97,A+,Highly Trustworthy,84.0,100.0,100.0,99.9,100.0,17,1786,-1.114853,0.0,True,10.1002/14651858.CD003774.pub5,Diabetes,13,88.32335329341318,False,0,79.34131736526946,43.26347305389221,Moderate
CD009749_pub3_data__A6,CD009749,97,A+,Highly Trustworthy,84.0,100.0,100.0,99.9,100.0,16,1152,0.740918,0.000943,True,10.1002/14651858.CD009749.pub3,Hypertension,7,73.05389221556887,False,0,52.49500998003992,34.47105788423154,Moderate
CD013071_pub2_data__A8,CD013071,97,A+,Highly Trustworthy,84.0,100.0,100.0,99.7,100.0,11,3477,0.513727,0.044189,True,10.1002/14651858.CD013071.pub2,Cardiovascular,15,91.81636726546905,False,0,84.83033932135729,45.20958083832335,Moderate
CD013071_pub2_data__A20,CD013071,97,A+,Highly Trustworthy,84.0,100.0,100.0,99.7,100.0,10,3439,0.521308,0.045442,True,10.1002/14651858.CD013071.pub2,Cardiovascular,15,91.81636726546905,False,0,84.83033932135729,45.20958083832335,Moderate
CD001909_pub4_data__A4,CD001909,97,A+,Highly Trustworthy,84.0,100.0,100.0,99.6,100.0,12,1486,0.668293,0.003526,True,10.1002/14651858.CD001909.pub4,Pregnancy,3,49.101796407185624,False,0,34.5309381237525,23.093812375249502,Hidden Gem
CD001155_pub3_data__A1,CD001155,97,A+,Highly Trustworthy,84.0,100.0,100.0,99.9,100.0,182,65148,-0.30599,0.0,True,10.1002/14651858.CD001155.pub3,Gastrointestinal,0,9.68063872255489,False,0,52.49500998003992,9.121756487025948,Hidden Gem
CD013830_pub2_data__A7,CD013830,97,A+,Highly Trustworthy,84.0,100.0,100.0,99.9,100.0,11,1084,-1.17636,0.001912,True,10.1002/14651858.CD013830.pub2,Respiratory,15,91.81636726546905,True,0,87.12574850299401,65.43912175648703,Safe
CD006257_pub2_data__A5,CD006257,96,A+,Highly Trustworthy,92.0,100.0,90.0,99.9,100.0,23,11584,-0.294517,0.014351,True,10.1002/14651858.CD006257.pub2,Hypertension,10,82.83433133732535,False,0,77.84431137724552,40.91816367265469,Moderate
CD007784_pub3_data__A4,CD007784,95,A+,Highly Trustworthy,100.0,100.0,100.0,99.9,75.0,9,22219,-0.311012,0.000969,True,10.1002/14651858.CD007784.pub3,Diabetes,9,79.84031936127745,False,0,99.40119760479041,41.876247504990026,Moderate
CD016131_data__A3,CD016131,95,A+,Highly Trustworthy,92.0,100.0,90.0,92.8,100.0,11,64337,-0.69036,0.001214,True,10.1002/14651858.CD016131,,0,9.68063872255489,False,0,34.5309381237525,7.325349301397207,Hidden Gem
CD007784_pub3_data__A55,CD007784,95,A+,Highly Trustworthy,100.0,100.0,100.0,99.9,75.0,5,4126,-0.669545,0.014266,True,10.1002/14651858.CD007784.pub3,Diabetes,9,79.84031936127745,False,0,99.40119760479041,41.876247504990026,Moderate
CD003598_pub3_data__A2,CD003598,95,A+,Highly Trustworthy,84.0,100.0,90.0,99.9,100.0,60,8336,-0.19973,0.018231,True,10.1002/14651858.CD003598.pub3,Hypertension,2,39.12175648702595,False,0,96.6067864271457,25.309381237524953,Hidden Gem
CD002042_pub6_data__A32,CD002042,95,A+,Highly Trustworthy,76.0,100.0,100.0,99.6,100.0,10,6944,0.186229,0.041232,True,10.1002/14651858.CD002042.pub6,Cancer,2,39.12175648702595,False,0,95.70858283433134,25.219560878243513,Hidden Gem
CD016131_data__A2,CD016131,95,A+,Highly Trustworthy,92.0,100.0,90.0,92.8,100.0,13,108735,-0.98943,1e-05,True,10.1002/14651858.CD016131,,0,9.68063872255489,False,0,34.5309381237525,7.325349301397207,Hidden Gem
CD007026_pub7_data__A2,CD007026,95,A+,Highly Trustworthy,84.0,100.0,90.0,99.4,100.0,14,3378,-0.312086,0.009065,True,10.1002/14651858.CD007026.pub7,Other,10,82.83433133732535,False,0,27.045908183632733,35.83832335329341,Moderate
CD011600_pub3_data__A12,CD011600,93,A+,Highly Trustworthy,100.0,100.0,90.0,99.3,75.0,9,29292,0.486858,7e-05,True,10.1002/14651858.CD011600.pub3,Cardiovascular,14,90.31936127744511,False,0,92.61477045908184,45.389221556886234,Moderate
CD011600_pub3_data__A25,CD011600,93,A+,Highly Trustworthy,100.0,100.0,90.0,99.3,75.0,8,27730,-0.682098,0.002704,True,10.1002/14651858.CD011600.pub3,Cardiovascular,14,90.31936127744511,False,0,92.61477045908184,45.389221556886234,Moderate
CD015536_pub2_data__A2,CD015536,93,A+,Highly Trustworthy,76.0,100.0,90.0,99.9,100.0,39,4653,-0.373303,0.034748,True,10.1002/14651858.CD015536.pub2,Gastrointestinal,0,9.68063872255489,False,0,52.49500998003992,9.121756487025948,Hidden Gem
CD011600_pub3_data__A14,CD011600,93,A+,Highly Trustworthy,100.0,100.0,90.0,99.3,75.0,9,29292,0.57089,0.000142,True,10.1002/14651858.CD011600.pub3,Cardiovascular,14,90.31936127744511,False,0,92.61477045908184,45.389221556886234,Moderate
CD013830_pub2_data__A10,CD013830,93,A+,Highly Trustworthy,92.0,100.0,100.0,99.9,75.0,6,1053,-0.766755,0.021895,True,10.1002/14651858.CD013830.pub2,Respiratory,15,91.81636726546905,True,0,87.12574850299401,65.43912175648703,Safe
CD003598_pub3_data__A18,CD003598,93,A+,Highly Trustworthy,100.0,100.0,90.0,99.9,75.0,8,1900,-1.078238,0.000185,True,10.1002/14651858.CD003598.pub3,Hypertension,2,39.12175648702595,False,0,96.6067864271457,25.309381237524953,Hidden Gem
CD012712_pub2_data__A5,CD012712,93,A+,Highly Trustworthy,84.0,80.0,100.0,99.8,100.0,49,10315,-0.158801,0.008725,True,10.1002/14651858.CD012712.pub2,Respiratory,10,82.83433133732535,True,0,82.93413173652695,61.427145708582835,Safe
CD013830_pub2_data__A11,CD013830,93,A+,Highly Trustworthy,92.0,100.0,100.0,99.9,75.0,7,2709,-0.680175,0.000223,True,10.1002/14651858.CD013830.pub2,Respiratory,15,91.81636726546905,True,0,87.12574850299401,65.43912175648703,Safe
CD013614_pub2_data__A19,CD013614,93,A+,Highly Trustworthy,92.0,100.0,100.0,99.9,75.0,8,3045,0.531536,0.001346,True,10.1002/14651858.CD013614.pub2,Pain,2,39.12175648702595,False,0,98.00399201596807,25.449101796407188,Hidden Gem
CD013874_pub3_data__A11,CD013874,93,A+,Highly Trustworthy,92.0,100.0,100.0,99.5,75.0,5,997,-1.145393,0.032183,True,10.1002/14651858.CD013874.pub3,Cancer,0,9.68063872255489,False,0,76.24750499001996,11.497005988023954,Hidden Gem
CD016211_data__A2,CD016211,93,A+,Highly Trustworthy,100.0,100.0,90.0,99.7,75.0,5,42430,-0.424268,0.007286,True,10.1002/14651858.CD016211,,0,9.68063872255489,False,0,82.93413173652695,12.165668662674651,Hidden Gem
CD013614_pub2_data__A18,CD013614,92,A+,Highly Trustworthy,72.0,100.0,90.0,99.9,100.0,16,6001,1.370856,1e-06,True,10.1002/14651858.CD013614.pub2,Pain,2,39.12175648702595,False,0,98.00399201596807,25.449101796407188,Hidden Gem
CD009749_pub3_data__A2,CD009749,92,A+,Highly Trustworthy,84.0,100.0,100.0,99.9,75.0,12,804,0.809335,0.002921,True,10.1002/14651858.CD009749.pub3,Hypertension,7,73.05389221556887,False,0,52.49500998003992,34.47105788423154,Moderate
CD014722_pub2_data__A1,CD014722,92,A+,Highly Trustworthy,84.0,100.0,80.0,96.6,100.0,49,7614,-0.541853,0.000392,True,10.1002/14651858.CD014722.pub2,Mental_health,14,90.31936127744511,False,0,84.83033932135729,44.61077844311377,Moderate
CD013830_pub2_data__A13,CD013830,92,A+,Highly Trustworthy,84.0,100.0,100.0,99.9,75.0,9,970,-0.471455,0.009993,True,10.1002/14651858.CD013830.pub2,Respiratory,15,91.81636726546905,True,0,87.12574850299401,65.43912175648703,Safe
CD010290_pub4_data__A1,CD010290,92,A+,Highly Trustworthy,84.0,100.0,100.0,99.9,75.0,9,1265,0.333798,0.03073,True,10.1002/14651858.CD010290.pub4,Pregnancy,2,39.12175648702595,False,0,77.84431137724552,23.433133732534934,Hidden Gem
CD006023_pub4_data__A7,CD006023,91,A+,Highly Trustworthy,92.0,100.0,90.0,73.8,100.0,28,3794,0.480633,0.022457,True,10.1002/14651858.CD006023.pub4,Cardiovascular,1,26.34730538922156,False,0,94.11177644710578,19.9500998003992,Hidden Gem
CD006023_pub4_data__A13,CD006023,91,A+,Highly Trustworthy,92.0,100.0,90.0,73.8,100.0,22,3393,0.426309,0.016118,True,10.1002/14651858.CD006023.pub4,Cardiovascular,1,26.34730538922156,False,0,94.11177644710578,19.9500998003992,Hidden Gem
CD005133_pub4_data__A8,CD005133,91,A+,Highly Trustworthy,76.0,100.0,80.0,98.8,100.0,56,5484,-0.18006,0.034456,True,10.1002/14651858.CD005133.pub4,Hypertension,0,9.68063872255489,False,0,52.49500998003992,9.121756487025948,Hidden Gem
CD003743_pub3_data__A4,CD003743,91,A+,Highly Trustworthy,92.0,100.0,90.0,99.7,75.0,6,528,-1.167561,0.014985,True,10.1002/14651858.CD003743.pub3,Respiratory,0,9.68063872255489,False,0,76.24750499001996,11.497005988023954,Hidden Gem
CD012426_pub2_data__A4,CD012426,91,A+,Highly Trustworthy,92.0,100.0,90.0,99.0,75.0,7,2210,-0.257964,0.029962,True,10.1002/14651858.CD012426.pub2,Cardiovascular,0,9.68063872255489,False,0,20.35928143712575,5.908183632734531,Hidden Gem
CD011600_pub3_data__A23,CD011600,91,A+,Highly Trustworthy,92.0,100.0,90.0,99.3,75.0,9,29262,-0.369516,0.004592,True,10.1002/14651858.CD011600.pub3,Cardiovascular,14,90.31936127744511,False,0,92.61477045908184,45.389221556886234,Moderate
CD011600_pub3_data__A10,CD011600,91,A+,Highly Trustworthy,92.0,100.0,90.0,99.3,75.0,7,26608,0.308407,2.6e-05,True,10.1002/14651858.CD011600.pub3,Cardiovascular,14,90.31936127744511,False,0,92.61477045908184,45.389221556886234,Moderate
CD003333_pub4_data__A3,CD003333,91,A+,Highly Trustworthy,100.0,100.0,80.0,99.7,75.0,5,4727,0.743754,0.009265,True,10.1002/14651858.CD003333.pub4,Cardiovascular,0,9.68063872255489,False,0,7.0858283433133735,4.580838323353293,Hidden Gem
CD007784_pub3_data__A50,CD007784,90,A+,Highly Trustworthy,80.0,100.0,70.0,99.9,100.0,14,36156,-0.414015,3e-06,True,10.1002/14651858.CD007784.pub3,Diabetes,9,79.84031936127745,False,0,99.40119760479041,41.876247504990026,Moderate
CD007784_pub3_data__A24,CD007784,90,A+,Highly Trustworthy,80.0,100.0,70.0,99.9,100.0,14,36156,-0.414015,3e-06,True,10.1002/14651858.CD007784.pub3,Diabetes,9,79.84031936127745,False,0,99.40119760479041,41.876247504990026,Moderate
CD007784_pub3_data__A23,CD007784,90,A+,Highly Trustworthy,80.0,100.0,70.0,99.9,100.0,14,36156,-0.414015,3e-06,True,10.1002/14651858.CD007784.pub3,Diabetes,9,79.84031936127745,False,0,99.40119760479041,41.876247504990026,Moderate
CD006536_pub5_data__A3,CD006536,90,A+,Highly Trustworthy,80.0,100.0,70.0,99.7,100.0,80,6537,-0.536863,0.004566,True,10.1002/14651858.CD006536.pub5,Hypertension,0,9.68063872255489,False,0,89.92015968063872,12.86427145708583,Hidden Gem
CD007784_pub3_data__A38,CD007784,90,A+,Highly Trustworthy,80.0,100.0,70.0,99.9,100.0,14,36156,-0.414015,3e-06,True,10.1002/14651858.CD007784.pub3,Diabetes,9,79.84031936127745,False,0,99.40119760479041,41.876247504990026,Moderate
CD007784_pub3_data__A53,CD007784,90,A+,Highly Trustworthy,80.0,100.0,70.0,99.9,100.0,13,29909,-0.45833,1e-05,True,10.1002/14651858.CD007784.pub3,Diabetes,9,79.84031936127745,False,0,99.40119760479041,41.876247504990026,Moderate
CD013425_pub2_data__A12,CD013425,90,A+,Highly Trustworthy,80.0,100.0,70.0,99.7,100.0,16,4301,0.731837,4.6e-05,True,10.1002/14651858.CD013425.pub2,Hypertension,2,39.12175648702595,False,0,67.86427145708582,22.435129740518963,Hidden Gem
CD010290_pub4_data__A3,CD010290,90,A+,Highly Trustworthy,80.0,100.0,70.0,99.9,100.0,13,2151,0.432994,0.008163,True,10.1002/14651858.CD010290.pub4,Pregnancy,2,39.12175648702595,False,0,77.84431137724552,23.433133732534934,Hidden Gem
CD003376_pub4_data__A5,CD003376,90,A+,Highly Trustworthy,80.0,100.0,70.0,99.8,100.0,26,3209,-0.84494,1.3e-05,True,10.1002/14651858.CD003376.pub4,Gastrointestinal,1,26.34730538922156,False,0,46.40718562874252,15.179640718562876,Hidden Gem
CD013541_pub2_data__A1,CD013541,90,A+,Highly Trustworthy,80.0,100.0,70.0,98.1,100.0,61,4048,-0.331514,0.025709,True,10.1002/14651858.CD013541.pub2,Mental_health,11,84.83033932135729,False,0,52.49500998003992,39.18163672654691,Moderate
CD007784_pub3_data__A1,CD007784,90,A+,Highly Trustworthy,80.0,100.0,70.0,99.9,100.0,16,39382,-0.409824,1e-06,True,10.1002/14651858.CD007784.pub3,Diabetes,9,79.84031936127745,False,0,99.40119760479041,41.876247504990026,Moderate
CD010290_pub4_data__A10,CD010290,90,A+,Highly Trustworthy,80.0,100.0,70.0,99.9,100.0,10,1809,0.386738,0.031921,True,10.1002/14651858.CD010290.pub4,Pregnancy,2,39.12175648702595,False,0,77.84431137724552,23.433133732534934,Hidden Gem
CD001155_pub3_data__A3,CD001155,90,A+,Highly Trustworthy,80.0,100.0,70.0,99.9,100.0,83,75135,-0.337419,2e-06,True,10.1002/14651858.CD001155.pub3,Gastrointestinal,0,9.68063872255489,False,0,52.49500998003992,9.121756487025948,Hidden Gem
CD009298_pub3_data__A28,CD009298,88,A,Trustworthy,92.0,100.0,50.0,98.3,100.0,10,1002,-0.045359,0.806816,False,10.1002/14651858.CD009298.pub3,Cardiovascular,0,9.68063872255489,False,0,98.70259481037924,13.742514970059881,Hidden Gem
CD005595_pub4_data__A11,CD005595,88,A,Trustworthy,92.0,100.0,50.0,99.8,100.0,50,5510,0.161576,0.233754,False,10.1002/14651858.CD005595.pub4,Hypertension,8,76.14770459081836,False,0,67.86427145708582,37.24550898203593,Moderate
CD007784_pub3_data__A51,CD007784,88,A,Trustworthy,92.0,100.0,50.0,99.9,100.0,20,1186,-0.079704,0.862196,False,10.1002/14651858.CD007784.pub3,Diabetes,9,79.84031936127745,False,0,99.40119760479041,41.876247504990026,Moderate
CD007784_pub3_data__A44,CD007784,88,A,Trustworthy,92.0,100.0,50.0,99.9,100.0,24,2183,-0.045645,0.913073,False,10.1002/14651858.CD007784.pub3,Diabetes,9,79.84031936127745,False,0,99.40119760479041,41.876247504990026,Moderate
CD013614_pub2_data__A27,CD013614,88,A,Trustworthy,92.0,100.0,50.0,99.9,100.0,14,3937,-0.086754,0.873891,False,10.1002/14651858.CD013614.pub2,Pain,2,39.12175648702595,False,0,98.00399201596807,25.449101796407188,Hidden Gem
CD009298_pub3_data__A27,CD009298,88,A,Trustworthy,92.0,100.0,50.0,98.3,100.0,11,1002,-0.043397,0.830873,False,10.1002/14651858.CD009298.pub3,Cardiovascular,0,9.68063872255489,False,0,98.70259481037924,13.742514970059881,Hidden Gem
CD007784_pub3_data__A42,CD007784,88,A,Trustworthy,92.0,100.0,50.0,99.9,100.0,20,1186,-0.079704,0.862196,False,10.1002/14651858.CD007784.pub3,Diabetes,9,79.84031936127745,False,0,99.40119760479041,41.876247504990026,Moderate
CD007784_pub3_data__A40,CD007784,88,A,Trustworthy,92.0,100.0,50.0,99.9,100.0,24,2179,-0.058918,0.887969,False,10.1002/14651858.CD007784.pub3,Diabetes,9,79.84031936127745,False,0,99.40119760479041,41.876247504990026,Moderate
CD013830_pub2_data__A2,CD013830,88,A,Trustworthy,92.0,100.0,50.0,99.9,100.0,14,3216,-0.11877,0.554967,False,10.1002/14651858.CD013830.pub2,Respiratory,15,91.81636726546905,True,0,87.12574850299401,65.43912175648703,Safe
CD009749_pub3_data__A3,CD009749,88,A,Trustworthy,92.0,100.0,50.0,99.9,100.0,10,1601,-0.06862,0.792742,False,10.1002/14651858.CD009749.pub3,Hypertension,7,73.05389221556887,False,0,52.49500998003992,34.47105788423154,Moderate
CD010966_pub4_data__A1,CD010966,88,A,Trustworthy,92.0,100.0,50.0,96.0,100.0,65,7665,-0.20775,0.385307,False,10.1002/14651858.CD010966.pub4,Hypertension,8,76.14770459081836,False,0,91.01796407185628,39.560878243512974,Moderate
CD006536_pub5_data__A21,CD006536,88,A,Trustworthy,92.0,100.0,50.0,99.7,100.0,24,1962,-0.091109,0.826967,False,10.1002/14651858.CD006536.pub5,Hypertension,0,9.68063872255489,False,0,89.92015968063872,12.86427145708583,Hidden Gem
CD009298_pub3_data__A16,CD009298,88,A,Trustworthy,92.0,100.0,50.0,98.3,100.0,10,1002,0.100422,0.64792,False,10.1002/14651858.CD009298.pub3,Cardiovascular,0,9.68063872255489,False,0,98.70259481037924,13.742514970059881,Hidden Gem
CD006536_pub5_data__A2,CD006536,88,A,Trustworthy,72.0,100.0,70.0,99.7,100.0,152,13746,-0.238823,0.007631,True,10.1002/14651858.CD006536.pub5,Hypertension,0,9.68063872255489,False,0,89.92015968063872,12.86427145708583,Hidden Gem
CD009298_pub3_data__A8,CD009298,88,A,Trustworthy,92.0,100.0,50.0,98.3,100.0,10,1002,0.002689,0.996736,False,10.1002/14651858.CD009298.pub3,Cardiovascular,0,9.68063872255489,False,0,98.70259481037924,13.742514970059881,Hidden Gem
CD016136_data__A5,CD016136,88,A,Trustworthy,92.0,100.0,50.0,99.4,100.0,13,1834,-0.196544,0.731384,False,10.1002/14651858.CD016136,,4,57.48502994011976,False,0,20.35928143712575,25.02994011976048,Hidden Gem
CD016136_data__A4,CD016136,88,A,Trustworthy,92.0,100.0,50.0,99.4,100.0,30,4912,-0.113278,0.761907,False,10.1002/14651858.CD016136,,4,57.48502994011976,False,0,20.35928143712575,25.02994011976048,Hidden Gem
CD010966_pub4_data__A3,CD010966,88,A,Trustworthy,92.0,100.0,50.0,96.0,100.0,121,9110,-0.168393,0.134032,False,10.1002/14651858.CD010966.pub4,Hypertension,8,76.14770459081836,False,0,91.01796407185628,39.560878243512974,Moderate
CD007784_pub3_data__A28,CD007784,88,A,Trustworthy,92.0,100.0,50.0,99.9,100.0,24,2183,-0.045645,0.913073,False,10.1002/14651858.CD007784.pub3,Diabetes,9,79.84031936127745,False,0,99.40119760479041,41.876247504990026,Moderate
CD007784_pub3_data__A30,CD007784,88,A,Trustworthy,92.0,100.0,50.0,99.9,100.0,20,1186,-0.079704,0.862196,False,10.1002/14651858.CD007784.pub3,Diabetes,9,79.84031936127745,False,0,99.40119760479041,41.876247504990026,Moderate
CD007784_pub3_data__A58,CD007784,88,A,Trustworthy,92.0,100.0,50.0,99.9,100.0,22,1118,-0.079493,0.855946,False,10.1002/14651858.CD007784.pub3,Diabetes,9,79.84031936127745,False,0,99.40119760479041,41.876247504990026,Moderate
CD007784_pub3_data__A59,CD007784,88,A,Trustworthy,92.0,100.0,50.0,99.9,100.0,19,1071,-0.09513,0.840143,False,10.1002/14651858.CD007784.pub3,Diabetes,9,79.84031936127745,False,0,99.40119760479041,41.876247504990026,Moderate
CD013614_pub2_data__A9,CD013614,88,A,Trustworthy,92.0,100.0,50.0,99.9,100.0,16,6239,0.060665,0.672353,False,10.1002/14651858.CD013614.pub2,Pain,2,39.12175648702595,False,0,98.00399201596807,25.449101796407188,Hidden Gem
CD013071_pub2_data__A19,CD013071,88,A,Trustworthy,92.0,100.0,50.0,99.7,100.0,12,2966,-0.222933,0.300296,False,10.1002/14651858.CD013071.pub2,Cardiovascular,15,91.81636726546905,False,0,84.83033932135729,45.20958083832335,Moderate
CD013614_pub2_data__A7,CD013614,88,A,Trustworthy,92.0,100.0,50.0,99.9,100.0,15,5650,-0.121821,0.817251,False,10.1002/14651858.CD013614.pub2,Pain,2,39.12175648702595,False,0,98.00399201596807,25.449101796407188,Hidden Gem
CD007784_pub3_data__A60,CD007784,88,A,Trustworthy,92.0,100.0,50.0,99.9,100.0,19,1098,-0.101047,0.830333,False,10.1002/14651858.CD007784.pub3,Diabetes,9,79.84031936127745,False,0,99.40119760479041,41.876247504990026,Moderate
CD010290_pub4_data__A9,CD010290,88,A,Trustworthy,92.0,100.0,50.0,99.9,100.0,14,1972,0.407145,0.197223,False,10.1002/14651858.CD010290.pub4,Pregnancy,2,39.12175648702595,False,0,77.84431137724552,23.433133732534934,Hidden Gem
CD001155_pub3_data__A6,CD001155,88,A,Trustworthy,92.0,100.0,50.0,99.9,100.0,40,17219,-0.017522,0.757697,False,10.1002/14651858.CD001155.pub3,Gastrointestinal,0,9.68063872255489,False,0,52.49500998003992,9.121756487025948,Hidden Gem
CD013541_pub2_data__A4,CD013541,88,A,Trustworthy,92.0,100.0,50.0,98.1,100.0,32,2347,-0.205519,0.24175,False,10.1002/14651858.CD013541.pub2,Mental_health,11,84.83033932135729,False,0,52.49500998003992,39.18163672654691,Moderate
CD013830_pub2_data__A9,CD013830,88,A,Trustworthy,92.0,100.0,100.0,99.9,50.0,4,1965,-1.206896,0.019857,True,10.1002/14651858.CD013830.pub2,Respiratory,15,91.81636726546905,True,0,87.12574850299401,65.43912175648703,Safe
CD003376_pub4_data__A4,CD003376,88,A,Trustworthy,72.0,100.0,70.0,99.8,100.0,24,2427,-0.892509,9e-05,True,10.1002/14651858.CD003376.pub4,Gastrointestinal,1,26.34730538922156,False,0,46.40718562874252,15.179640718562876,Hidden Gem
CD006536_pub5_data__A5,CD006536,88,A,Trustworthy,92.0,100.0,50.0,99.7,100.0,57,5087,-0.338156,0.056952,False,10.1002/14651858.CD006536.pub5,Hypertension,0,9.68063872255489,False,0,89.92015968063872,12.86427145708583,Hidden Gem
CD013071_pub2_data__A2,CD013071,88,A,Trustworthy,92.0,100.0,50.0,99.7,100.0,18,2869,0.001819,0.995866,False,10.1002/14651858.CD013071.pub2,Cardiovascular,15,91.81636726546905,False,0,84.83033932135729,45.20958083832335,Moderate
CD013071_pub2_data__A3,CD013071,88,A,Trustworthy,92.0,100.0,50.0,99.7,100.0,13,2569,-0.033947,0.952495,False,10.1002/14651858.CD013071.pub2,Cardiovascular,15,91.81636726546905,False,0,84.83033932135729,45.20958083832335,Moderate
