ma_id,review_id,final_score,grade,grade_label,audit_score,consistency_score,robustness_score,stability_score,power_score,k,total_n,estimate,p_value,significant,doi,review_group,citation_count,citation_percentile,who_essential,nice_guideline_count,group_size_percentile,influence_score,quadrant
CD013614_pub2_data__A28,CD013614,98,A+,Highly Trustworthy,92.0,100.0,100.0,99.9,100.0,13,4366,-0.276634,0.019945,True,10.1002/14651858.CD013614.pub2,Pain,2,39.12175648702595,False,0,98.00399201596807,25.449101796407188,Hidden Gem
CD003774_pub5_data__A10,CD003774,98,A+,Highly Trustworthy,92.0,100.0,100.0,99.9,100.0,25,2653,-0.928882,1.4e-05,True,10.1002/14651858.CD003774.pub5,Diabetes,13,88.32335329341318,False,0,79.34131736526946,43.26347305389221,Moderate
CD001155_pub3_data__A5,CD001155,98,A+,Highly Trustworthy,92.0,100.0,100.0,99.9,100.0,47,49267,-0.631574,0.0,True,10.1002/14651858.CD001155.pub3,Gastrointestinal,0,9.68063872255489,False,0,52.49500998003992,9.121756487025948,Hidden Gem
CD013366_pub2_data__A5,CD013366,98,A+,Highly Trustworthy,92.0,100.0,100.0,99.7,100.0,16,2289,-0.512697,0.004537,True,10.1002/14651858.CD013366.pub2,Dermatology,10,82.83433133732535,False,0,73.45309381237524,40.47904191616767,Moderate
CD003774_pub5_data__A5,CD003774,98,A+,Highly Trustworthy,92.0,100.0,100.0,99.9,100.0,66,7622,-1.048008,0.0,True,10.1002/14651858.CD003774.pub5,Diabetes,13,88.32335329341318,False,0,79.34131736526946,43.26347305389221,Moderate
CD003774_pub5_data__A2,CD003774,98,A+,Highly Trustworthy,92.0,100.0,100.0,99.9,100.0,101,9440,-1.014016,0.0,True,10.1002/14651858.CD003774.pub5,Diabetes,13,88.32335329341318,False,0,79.34131736526946,43.26347305389221,Moderate
CD007784_pub3_data__A37,CD007784,98,A+,Highly Trustworthy,92.0,100.0,100.0,99.9,100.0,13,34980,-0.257488,2.9e-05,True,10.1002/14651858.CD007784.pub3,Diabetes,9,79.84031936127745,False,0,99.40119760479041,41.876247504990026,Moderate
CD007784_pub3_data__A25,CD007784,98,A+,Highly Trustworthy,92.0,100.0,100.0,99.9,100.0,12,34857,-0.259493,4.1e-05,True,10.1002/14651858.CD007784.pub3,Diabetes,9,79.84031936127745,False,0,99.40119760479041,41.876247504990026,Moderate
CD007784_pub3_data__A22,CD007784,98,A+,Highly Trustworthy,92.0,100.0,100.0,99.9,100.0,12,34857,-0.259493,4.1e-05,True,10.1002/14651858.CD007784.pub3,Diabetes,9,79.84031936127745,False,0,99.40119760479041,41.876247504990026,Moderate
CD007784_pub3_data__A5,CD007784,98,A+,Highly Trustworthy,92.0,100.0,100.0,99.9,100.0,12,9833,-0.449739,0.004848,True,10.1002/14651858.CD007784.pub3,Diabetes,9,79.84031936127745,False,0,99.40119760479041,41.876247504990026,Moderate
CD009362_pub4_data__A4,CD009362,98,A+,Highly Trustworthy,92.0,100.0,100.0,99.9,100.0,20,6368,-0.830983,1.7e-05,True,10.1002/14651858.CD009362.pub4,Other,5,63.57285429141717,False,0,13.373253493013973,26.76646706586827,Hidden Gem
