review_id_prefix,review_group
CD000028,Cardiovascular
CD000143,Respiratory
CD000219,Pain
CD000478,Other
CD000547,Diabetes
CD001072,Other
CD001155,Gastrointestinal
CD001321,Pregnancy
CD001396,Mental_health
CD001431,Diabetes
CD001533,Hypertension
CD001552,Mental_health
CD001703,Mental_health
CD001797,Other
CD001837,Cardiovascular
CD001909,Pregnancy
CD001920,Cardiovascular
CD002042,Cancer
CD002052,Pregnancy
CD002112,Other
CD002115,Gastrointestinal
CD002122,Diabetes
CD002203,Respiratory
CD002243,Diabetes
CD002290,Hypertension
CD002303,Other
CD002971,Infection
CD003129,Pain
CD003214,Respiratory
CD003216,Gastrointestinal
CD003218,Other
CD003331,Cardiovascular
CD003333,Cardiovascular
CD003357,Pregnancy
CD003376,Gastrointestinal
CD003414,Pregnancy
CD003429,Infection
CD003451,Other
CD003477,Mental_health
CD003511,Pregnancy
CD003519,Diabetes
CD003594,Hypertension
CD003598,Hypertension
CD003743,Respiratory
CD003774,Diabetes
CD003833,Hypertension
CD003962,Hypertension
CD004184,Hypertension
CD004307,Pregnancy
CD004372,Other
CD004376,Pain
CD004406,Other
CD004417,Infection
CD004508,Infection
CD004661,Hypertension
CD004667,Pregnancy
CD004703,Pain
CD004736,Cardiovascular
CD004762,Mental_health
CD004871,Pain
CD004904,Other
CD004925,Infection
CD004953,Hypertension
CD004992,Pregnancy
CD005133,Hypertension
CD005187,Respiratory
CD005343,Infection
CD005495,Pregnancy
CD005566,Cardiovascular
CD005582,Pain
CD005595,Hypertension
CD005951,Mental_health
CD006023,Cardiovascular
CD006027,Pain
CD006124,Pain
CD006140,Mental_health
CD006182,Infection
CD006185,Cardiovascular
CD006214,Other
CD006257,Hypertension
CD006273,Pain
CD006404,Diabetes
CD006475,Respiratory
CD006515,Hypertension
CD006536,Hypertension
CD006606,Pregnancy
CD006632,Other
CD006689,Infection
CD006712,Pain
CD006714,Mental_health
CD006742,Cardiovascular
CD006839,Infection
CD006913,Mental_health
CD006919,Pregnancy
CD006942,Pregnancy
CD006982,Pregnancy
CD007024,Respiratory
CD007026,Other
CD007079,Cardiovascular
CD007110,Cancer
CD007130,Hypertension
CD007156,Mental_health
CD007310,Infection
CD007374,Hypertension
CD007388,Hypertension
CD007491,Other
CD007569,Other
CD007572,Other
CD007639,Respiratory
CD007674,Mental_health
CD007693,Other
CD007784,Diabetes
CD007809,Mental_health
CD007837,Mental_health
CD007859,Pain
CD007872,Cardiovascular
CD007895,Hypertension
CD007896,Hypertension
CD008063,Other
CD008145,Other
CD008165,Other
CD008176,Cancer
CD008237,Gastrointestinal
CD008309,Hypertension
CD008349,Cardiovascular
CD008469,Other
CD008493,Cardiovascular
CD008552,Other
CD008564,Hypertension
CD008628,Infection
CD008688,Other
CD008709,Infection
CD008771,Diabetes
CD008858,Pain
CD008873,Hypertension
CD008879,Infection
CD008940,Other
CD008973,Other
CD008995,Pregnancy
CD009022,Cardiovascular
CD009102,Respiratory
CD009235,Other
CD009244,Cancer
CD009252,Other
CD009298,Cardiovascular
CD009362,Other
CD009417,Mental_health
CD009508,Gastrointestinal
CD009531,Hypertension
CD009535,Hypertension
CD009609,Cardiovascular
CD009679,Infection
CD009730,Respiratory
CD009749,Hypertension
CD009752,Diabetes
CD009788,Hypertension
CD009945,Other
CD010001,Diabetes
CD010136,Pain
CD010145,Cancer
CD010163,Cancer
CD010189,Other
CD010216,Hypertension
CD010290,Pregnancy
CD010333,Mental_health
CD010441,Pregnancy
CD010533,Cancer
CD010583,Infection
CD010779,Pain
CD010856,Other
CD010861,Infection
CD010966,Hypertension
CD011039,Cardiovascular
CD011044,Neurological
CD011060,Other
CD011120,Other
CD011192,Hypertension
CD011197,Mental_health
CD011204,Pain
CD011218,Other
CD011305,Infection
CD011330,Mental_health
CD011381,Mental_health
CD011468,Pain
CD011535,Mental_health
CD011575,Hypertension
CD011600,Cardiovascular
CD011624,Hypertension
CD011626,Cardiovascular
CD011627,Pain
CD011670,Infection
CD011671,Other
CD011689,Hypertension
CD011762,Gastrointestinal
CD011778,Other
CD011793,Respiratory
CD011800,Other
CD011806,Mental_health
CD011841,Other
CD011851,Hypertension
CD011858,Cardiovascular
CD011866,Mental_health
CD011885,Hypertension
CD012067,Hypertension
CD012079,Hypertension
CD012152,Diabetes
CD012170,Hypertension
CD012178,Other
CD012186,Other
CD012214,Cancer
CD012265,Infection
CD012268,Other
CD012335,Cancer
CD012397,Other
CD012426,Cardiovascular
CD012429,Hypertension
CD012445,Mental_health
CD012503,Cardiovascular
CD012532,Other
CD012570,Hypertension
CD012572,Hypertension
CD012586,Pregnancy
CD012594,Other
CD012609,Other
CD012623,Other
CD012635,Other
CD012642,Respiratory
CD012693,Pregnancy
CD012712,Respiratory
CD012718,Pain
CD012757,Cancer
CD012850,Mental_health
CD012886,Cardiovascular
CD012891,Pregnancy
CD012905,Cardiovascular
CD012925,Hypertension
CD012942,Mental_health
CD012967,Other
CD012993,Infection
CD012997,Neurological
CD013023,Infection
CD013038,Infection
CD013042,Pain
CD013051,Diabetes
CD013052,Infection
CD013053,Other
CD013054,Diabetes
CD013055,Pain
CD013056,Diabetes
CD013057,Other
CD013059,Mental_health
CD013071,Cardiovascular
CD013078,Pain
CD013105,Hypertension
CD013111,Pregnancy
CD013158,Respiratory
CD013166,Other
CD013197,Pain
CD013232,Diabetes
CD013255,Cardiovascular
CD013278,Hypertension
CD013284,Respiratory
CD013294,Respiratory
CD013295,Other
CD013303,Hypertension
CD013329,Other
CD013331,Pain
CD013332,Diabetes
CD013342,Mental_health
CD013344,Hypertension
CD013353,Hypertension
CD013355,Respiratory
CD013358,Hypertension
CD013366,Dermatology
CD013377,Other
CD013396,Hypertension
CD013408,Cardiovascular
CD013414,Diabetes
CD013421,Other
CD013425,Hypertension
CD013429,Other
CD013445,Pain
CD013456,Mental_health
CD013462,Other
CD013468,Pain
CD013474,Other
CD013476,Respiratory
CD013508,Mental_health
CD013539,Cancer
CD013541,Mental_health
CD013561,Other
CD013571,Other
CD013590,Cardiovascular
CD013591,Respiratory
CD013595,Infection
CD013613,Mental_health
CD013614,Pain
CD013631,Hypertension
CD013643,Other
CD013672,Other
CD013707,Cardiovascular
CD013715,Pain
CD013719,Other
CD013726,Pain
CD013729,Hypertension
CD013731,Gastrointestinal
CD013745,Other
CD013748,Other
CD013757,Respiratory
CD013758,Other
CD013763,Pain
CD013764,Pregnancy
CD013773,Other
CD013774,Other
CD013781,Cardiovascular
CD013789,Cardiovascular
CD013800,Cardiovascular
CD013801,Cardiovascular
CD013810,Hypertension
CD013816,Cardiovascular
CD013821,Mental_health
CD013822,Cancer
CD013823,Pregnancy
CD013827,Pregnancy
CD013830,Respiratory
CD013834,Other
CD013835,Other
CD013844,Mental_health
CD013853,Neurological
CD013857,Other
CD013874,Cancer
CD013875,Pregnancy
CD014040,Pregnancy
CD014089_data,Pain
CD014145,Pregnancy
CD014160,Pregnancy
CD014300,Mental_health
CD014428,Mental_health
CD014497,Other
CD014541,Cancer
CD014544,Respiratory
CD014573_data,Other
CD014574,Other
CD014580,Pain
CD014585,Other
CD014594,Infection
CD014617,Infection
CD014623,Neurological
CD014624,Mental_health
CD014666,Mental_health
CD014678,Cardiovascular
CD014687,Pain
CD014688,Other
CD014713,Other
CD014722,Mental_health
CD014736,Mental_health
CD014741,Cardiovascular
CD014755,Pregnancy
CD014758,Other
CD014762,Infection
CD014763,Infection
CD014769,Diabetes
CD014785,Other
CD014792,Respiratory
CD014802,Diabetes
CD014803,Mental_health
CD014811,Renal
CD014820,Hypertension
CD014833,Mental_health
CD014844,Infection
CD014845,Other
CD014852,Diabetes
CD014855,Infection
CD014861,Cancer
CD014869,Other
CD014871,Other
CD014872,Cancer
CD014889,Infection
CD014891,Other
CD014914,Other
CD014920,Cardiovascular
CD014923,Other
CD014932,Pregnancy
CD014935,Other
CD014937,Cardiovascular
CD014941,Other
CD014944,Mental_health
CD014959,Other
CD014960,Infection
CD014964,Pain
CD014965,Diabetes
CD014966,Cancer
CD014967,Pregnancy
CD014999,Other
CD015003,Cardiovascular
CD015014,Infection
CD015033,Mental_health
CD015038,Infection
CD015040,Mental_health
CD015042,Other
CD015046,Hypertension
CD015060,Renal
CD015064,Other
CD015066,Other
CD015083,Hypertension
CD015084,Gastrointestinal
CD015087,Pain
CD015101_data,Other
CD015112,Infection
CD015120,Other
CD015122,Other
CD015123,Other
CD015124,Cancer
CD015134,Pregnancy
CD015140,Mental_health
CD015145,Pain
CD015158,Respiratory
CD015160,Infection
CD015192,Diabetes
CD015213,Infection
CD015215,Mental_health
CD015219,Other
CD015229,Pain
CD015252,Other
CD015254,Gastrointestinal
CD015255,Other
CD015284,Mental_health
CD015313,Other
CD015314,Other
CD015326,Pregnancy
CD015328,Other
CD015330,Other
CD015331,Hypertension
CD015332,Hypertension
CD015350,Other
CD015373,Mental_health
CD015383,Mental_health
CD015387,Other
CD015395,Other
CD015432,Pain
CD015443,Mental_health
CD015448,Other
CD015462,Respiratory
CD015476,Gastrointestinal
CD015495_data,Other
CD015514,Other
CD015517_data,Respiratory
CD015518_data,Cancer
CD015519,Cancer
CD015520_data,Cancer
CD015524,Diabetes
CD015526,Renal
CD015530,Other
CD015532_data,Infection
CD015536,Gastrointestinal
CD015551,Infection
CD015573_data,Other
CD015584,Pain
CD015588,Diabetes
CD015592,Other
CD015594,Pregnancy
CD015636,Other
CD015673,Other
CD015698,Other
CD015701,Pregnancy
CD015711,Other
CD015721,Cardiovascular
CD015746,Other
CD015749,Other
CD015751,Other
CD015779_data,Cardiovascular
CD015786,Cardiovascular
CD015788,Other
CD015790,Mental_health
CD015802,Pregnancy
CD015804,Other
CD015820,Other
CD015824,Other
CD015830,Other
CD015849,Diabetes
CD015854_data,Dermatology
CD015855_data,Dermatology
CD015875_data,Hypertension
CD015877_data,Diabetes
CD015894,Pain
CD015932,Respiratory
CD015968_data,Hypertension
CD016001_data,Hypertension
CD016002_data,Hypertension
CD016031_data,Respiratory
CD016058,Hypertension
CD016064_data,Pregnancy
CD016119_data,Pain
CD016120_data,Infection
CD016131_data,Respiratory
CD016136_data,Other
CD016147_data,Pain
CD016148_data,Pain
CD016168_data,Respiratory
CD016211_data,Infection
CD016278_data,Cardiovascular
