medicine_name,category
metoprolol,cardiovascular
atenolol,cardiovascular
aspirin,analgesic
ibuprofen,analgesic
paracetamol,analgesic
amoxicillin,antibiotic
azithromycin,antibiotic
ciprofloxacin,antibiotic
metformin,endocrine
insulin,endocrine
omeprazole,gastrointestinal
atorvastatin,cardiovascular
amlodipine,cardiovascular
losartan,cardiovascular
hydrochlorothiazide,cardiovascular
warfarin,cardiovascular
heparin,cardiovascular
furosemide,cardiovascular
digoxin,cardiovascular
prednisolone,anti-inflammatory
dexamethasone,anti-inflammatory
morphine,analgesic
fluoxetine,mental_health
diazepam,mental_health
carbamazepine,neurological
phenytoin,neurological
salbutamol,respiratory
beclometasone,respiratory
oxygen,respiratory
chlorhexidine,antiseptic
